Company,Company Name,Region,Sales Document,Document Date,Customer Code,Customer Name,Product Code,Product Description,Quantity,Sales RM
1020US,Meta Creations,America,24031,5/6/2020,8020,Erma,101,Men type T simple white,100,1200
1020US,Meta Creations,America,24031,6/6/2020,8020,Erma,108,Laptop bag black,20,560
1020US,Meta Creations,America,24031,7/6/2020,8020,Erma,113,Men dress shirt black,100,2500
1020US,Meta Creations,America,28112,8/6/2020,8020,Erma,114,Men dress shirt grey,50,1250
1020US,Meta Creations,America,28112,9/6/2020,8020,Erma,101,Men type T simple white,40,480
1020US,Meta Creations,America,28112,10/6/2020,8020,Erma,102,Men type T simple black,70,840
1020US,Meta Creations,America,28112,11/6/2020,8020,Erma,106,Men basics,70,350
1020US,Meta Creations,America,28112,12/6/2020,8020,Erma,108,Laptop bag black,10,280
1020US,Meta Creations,America,28112,13/6/2020,8020,Erma,117,Men shorts grey,80,1440
1020US,Meta Creations,America,28112,14/6/2020,8020,Erma,118,Men shorts black,70,1260
1020US,Meta Creations,America,25442,15/6/2020,8010,Dellicia,118,Men shorts black,70,1260
1020US,Meta Creations,America,25442,16/6/2020,8010,Dellicia,117,Men shorts grey,80,1440
1020US,Meta Creations,America,25442,17/6/2020,8010,Dellicia,118,Men shorts black,70,1260
1020US,Meta Creations,America,25442,18/6/2020,8010,Dellicia,116,Unisex tank top white,60,360
1020US,Meta Creations,America,25442,19/6/2020,8010,Dellicia,106,Men basics,20,100
1020US,Meta Creations,America,25442,20/6/2020,8010,Dellicia,101,Men type T simple white,40,480
1020US,Meta Creations,America,25442,21/6/2020,8010,Dellicia,102,Men type T simple black,10,120
1040DE,Lucas Basics,Europe,44030,1/6/2020,8060,Liebher,108,Laptop bag black,60,1970
1040DE,Lucas Basics,Europe,44030,2/6/2020,8060,Liebher,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,44032,1/6/2020,8060,Liebher,108,Laptop bag black,60,1970
1040DE,Lucas Basics,Europe,44032,2/6/2020,8060,Liebher,109,Laptop bag red,70,2300
1040DE,Lucas Basics,Europe,44031,1/6/2020,8050,Aida GmbH,108,Laptop bag black,60,1970
1040DE,Lucas Basics,Europe,44031,2/6/2020,8050,Aida GmbH,109,Laptop bag red,50,1640
1040DE,Lucas Basics,Europe,44031,7/6/2020,8050,Aida GmbH,110,Smartphone case diamond,60,4230
1040DE,Lucas Basics,Europe,48112,8/6/2020,8060,Liebher,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,48112,9/6/2020,8060,Liebher,110,Smartphone case diamond,50,3520
1040DE,Lucas Basics,Europe,48114,8/6/2020,8050,Aida GmbH,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,48114,9/6/2020,8050,Aida GmbH,110,Smartphone case diamond,60,4230
1040DE,Lucas Basics,Europe,48114,12/6/2020,8050,Aida GmbH,111,Smartphone case simple,80,1880
1040DE,Lucas Basics,Europe,48116,8/6/2020,8060,Liebher,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,48116,9/6/2020,8060,Liebher,110,Smartphone case diamond,60,4230
1040DE,Lucas Basics,Europe,45442,15/6/2020,8050,Aida GmbH,108,Laptop bag black,50,1640
1040DE,Lucas Basics,Europe,45442,16/6/2020,8050,Aida GmbH,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,45444,15/6/2020,8060,Liebher,108,Laptop bag black,60,1970
1040DE,Lucas Basics,Europe,45444,16/6/2020,8060,Liebher,109,Laptop bag red,70,2300
1040DE,Lucas Basics,Europe,45444,19/6/2020,8060,Liebher,110,Smartphone case diamond,60,4230
1040DE,Lucas Basics,Europe,45446,15/6/2020,8050,Aida GmbH,111,Smartphone case simple,80,1880
1040DE,Lucas Basics,Europe,45446,16/6/2020,8050,Aida GmbH,108,Laptop bag black,50,1640
1040DE,Lucas Basics,Europe,44015,18/6/2020,8060,Liebher,108,Laptop bag black,60,1970
1040DE,Lucas Basics,Europe,44015,23/6/2020,8060,Liebher,109,Laptop bag red,70,2300
1040DE,Lucas Basics,Europe,44017,16/6/2020,8060,Liebher,108,Laptop bag black,70,2300
1040DE,Lucas Basics,Europe,44017,25/6/2020,8060,Liebher,109,Laptop bag red,70,2300
1040DE,Lucas Basics,Europe,44016,16/6/2020,8050,Aida GmbH,108,Laptop bag black,70,2300
1040DE,Lucas Basics,Europe,44016,18/6/2020,8050,Aida GmbH,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,44016,23/6/2020,8050,Aida GmbH,110,Smartphone case diamond,50,3520
1040DE,Lucas Basics,Europe,48097,29/6/2020,8060,Liebher,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,48097,30/6/2020,8060,Liebher,110,Smartphone case diamond,70,4930
1040DE,Lucas Basics,Europe,48099,15/6/2020,8050,Aida GmbH,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,48099,16/6/2020,8050,Aida GmbH,110,Smartphone case diamond,60,4230
1040DE,Lucas Basics,Europe,48099,17/6/2020,8050,Aida GmbH,111,Smartphone case simple,60,1410
1040DE,Lucas Basics,Europe,48101,18/6/2020,8060,Liebher,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,48101,19/6/2020,8060,Liebher,110,Smartphone case diamond,50,3520
1040DE,Lucas Basics,Europe,45427,20/6/2020,8050,Aida GmbH,108,Laptop bag black,70,2300
1040DE,Lucas Basics,Europe,45427,21/6/2020,8050,Aida GmbH,109,Laptop bag red,60,1970
1040DE,Lucas Basics,Europe,45429,22/6/2020,8060,Liebher,108,Laptop bag black,80,2630
1040DE,Lucas Basics,Europe,45429,23/6/2020,8060,Liebher,109,Laptop bag red,80,2630
1040DE,Lucas Basics,Europe,45429,24/6/2020,8060,Liebher,110,Smartphone case diamond,50,3520
1040DE,Lucas Basics,Europe,45431,25/6/2020,8050,Aida GmbH,111,Smartphone case simple,60,1410
1040DE,Lucas Basics,Europe,45431,26/6/2020,8050,Aida GmbH,108,Laptop bag black,60,1970
